,client_fk,active_days,avg_case_load
0,1,30,7.433333333333334
1,9,28,3.0357142857142856
2,12,28,4.535714285714286
3,13,3,1.6666666666666667
4,15,18,2.2777777777777777
5,21,30,8.433333333333334
6,25,30,3.3666666666666667
7,27,1,1.0
8,29,30,15.2
9,31,8,4.375
10,32,30,7.866666666666666
11,39,30,17.2
12,47,19,5.2631578947368425
13,50,27,22.814814814814813
14,51,15,1.4666666666666666
15,67,3,1.6666666666666667
16,74,30,10.533333333333333
17,83,13,1.4615384615384615
18,100,30,9.233333333333333
19,103,23,2.608695652173913
20,106,16,4.4375
21,109,14,1.2142857142857142
22,124,21,2.0952380952380953
23,137,4,1.5
24,147,1,1.0
25,167,30,12.866666666666667
26,168,22,2.772727272727273
27,191,2,14.5
28,192,2,12.5
29,201,12,1.25
30,209,7,4.142857142857143
31,212,12,14.416666666666666
32,216,11,1.2727272727272727
33,218,30,10.566666666666666
34,223,1,1.0
35,242,30,12.4
36,249,29,5.655172413793103
37,250,30,4.966666666666667
38,254,8,1.625
39,255,14,1.2142857142857142
40,256,29,8.96551724137931
41,269,18,1.6666666666666667
42,280,25,3.8
43,284,26,2.3076923076923075
44,293,24,14.958333333333334
45,298,19,2.1578947368421053
46,303,24,1.9166666666666667
47,306,1,1.0
48,315,4,19.5
49,322,17,1.588235294117647
50,327,19,2.736842105263158
51,333,4,1.25
52,339,11,1.5454545454545454
53,340,30,7.9
54,341,29,4.448275862068965
55,349,30,19.933333333333334
56,350,20,13.9
57,351,28,2.0714285714285716
58,352,2,1.0
59,354,9,5.666666666666667
60,358,21,1.7142857142857142
61,362,24,2.5833333333333335
62,363,30,21.666666666666668
63,365,14,1.2857142857142858
64,367,17,2.235294117647059
65,371,18,1.7222222222222223
66,377,23,1.7391304347826086
67,378,29,12.206896551724139
68,380,12,1.5
69,381,26,3.076923076923077
70,382,29,7.931034482758621
71,384,3,2.0
72,391,30,19.333333333333332
73,393,30,10.2
74,399,9,2.4444444444444446
75,403,29,7.655172413793103
76,406,30,8.633333333333333
77,409,2,1.0
78,411,28,8.785714285714286
79,415,27,3.7037037037037037
80,416,26,5.653846153846154
81,428,11,1.0909090909090908
82,432,20,1.55
83,442,6,5.666666666666667
84,451,8,1.375
85,452,24,2.5416666666666665
86,458,29,4.862068965517241
87,468,30,18.133333333333333
88,474,9,1.4444444444444444
89,477,1,5.0
90,484,6,1.3333333333333333
91,487,7,4.571428571428571
92,489,11,1.7272727272727273
93,492,1,1.0
94,496,29,2.8620689655172415
95,497,21,2.4285714285714284
96,507,7,1.0
97,513,18,1.3333333333333333
98,520,19,2.4210526315789473
99,521,16,1.4375
100,528,23,2.0
101,529,7,4.142857142857143
102,530,30,5.966666666666667
103,532,28,2.5357142857142856
104,543,23,2.652173913043478
105,548,6,1.8333333333333333
106,559,28,8.392857142857142
107,561,27,4.296296296296297
108,566,30,3.4
109,568,9,1.2222222222222223
110,574,2,1.0
111,581,16,2.25
112,582,29,10.172413793103448
113,594,5,7.8
114,596,19,1.7894736842105263
115,607,28,5.464285714285714
116,618,19,2.210526315789474
117,631,24,21.375
118,645,14,4.357142857142857
119,648,25,7.4
120,651,19,3.736842105263158
121,655,29,2.2413793103448274
122,656,30,14.6
123,668,4,1.0
124,670,29,3.2758620689655173
125,691,30,28.666666666666668
126,697,5,5.2
127,705,5,1.8
128,722,29,5.413793103448276
129,725,1,5.0
130,726,22,1.7727272727272727
131,727,19,1.894736842105263
132,728,30,5.666666666666667
133,733,26,4.8076923076923075
134,735,29,3.4827586206896552
135,737,2,1.0
136,738,27,5.555555555555555
137,745,12,1.25
138,746,29,4.172413793103448
139,751,18,2.3333333333333335
140,754,10,1.1
141,757,19,5.526315789473684
142,760,4,1.75
143,761,21,1.6666666666666667
144,768,26,8.23076923076923
145,771,24,4.25
146,772,19,1.8421052631578947
147,778,19,1.5263157894736843
148,779,30,3.033333333333333
149,781,6,1.3333333333333333
150,783,29,11.413793103448276
151,804,30,5.4
152,808,13,1.4615384615384615
153,810,30,18.8
154,812,29,5.793103448275862
155,825,3,2.0
156,866,18,2.0
157,889,30,18.866666666666667
158,894,30,4.933333333333334
159,897,30,13.466666666666667
160,907,11,3.8181818181818183
161,917,19,2.263157894736842
162,919,20,6.05
163,920,21,3.619047619047619
164,924,25,3.64
165,926,9,1.8888888888888888
166,931,1,1.0
167,936,24,8.416666666666666
168,939,8,1.125
169,949,9,1.7777777777777777
170,950,5,1.2
171,969,25,7.12
172,979,16,2.0625
173,985,1,12.0
174,986,5,1.0
175,988,15,1.7333333333333334
176,989,21,2.5238095238095237
177,991,29,7.275862068965517
178,992,17,2.1176470588235294
179,995,16,2.0625
180,999,26,2.1153846153846154
181,1001,25,4.2
182,1003,22,2.090909090909091
183,1007,23,8.782608695652174
184,1010,28,3.857142857142857
185,1012,30,8.8
186,1013,16,1.4375
187,1014,18,1.8888888888888888
188,1016,21,2.0
189,1020,1,2.0
190,1023,4,1.0
191,1027,4,2.25
192,1031,28,8.964285714285714
193,1032,10,1.3
194,1037,26,4.423076923076923
195,1038,30,8.3
196,1041,16,1.8125
197,1042,30,15.866666666666667
198,1051,27,1.8518518518518519
199,1062,4,1.5
200,1066,18,2.888888888888889
201,1069,15,1.6
202,1071,28,12.178571428571429
203,1076,29,9.172413793103448
204,1077,23,3.608695652173913
205,1080,18,1.4444444444444444
206,1085,18,2.111111111111111
207,1089,7,1.1428571428571428
208,1090,17,2.2941176470588234
209,1094,13,2.3846153846153846
210,1095,2,1.0
211,1102,1,1.0
212,1103,21,3.3333333333333335
213,1104,5,29.0
214,1107,30,6.666666666666667
215,1109,30,8.266666666666667
216,1112,28,6.107142857142857
217,1120,23,2.608695652173913
218,1126,30,61.166666666666664
219,1128,28,5.821428571428571
220,1132,3,1.6666666666666667
221,1135,30,9.533333333333333
222,1140,9,1.4444444444444444
223,1142,19,2.789473684210526
224,1145,10,1.3
225,1146,21,2.238095238095238
226,1223,24,2.1666666666666665
227,1225,11,7.545454545454546
228,1372,26,3.1538461538461537
229,1374,12,2.0833333333333335
230,1391,30,15.566666666666666
231,1399,3,1.0
232,1407,28,4.642857142857143
233,1410,30,5.633333333333334
234,1412,2,1.0
235,1417,3,1.6666666666666667
236,1422,27,3.2222222222222223
237,1426,7,1.4285714285714286
238,1429,29,4.172413793103448
239,1432,27,3.962962962962963
240,1435,12,1.5
241,1441,11,1.1818181818181819
242,1451,11,8.454545454545455
243,1470,30,49.0
244,1471,30,8.366666666666667
245,1489,27,2.4444444444444446
246,1493,21,2.1904761904761907
247,1494,25,4.04
248,1506,26,3.5
249,1507,26,4.6923076923076925
250,1510,26,48.30769230769231
251,1514,26,3.269230769230769
252,1520,15,2.1333333333333333
253,1522,30,16.3
254,1528,28,4.75
255,1533,11,1.7272727272727273
256,1536,26,2.6153846153846154
257,1539,16,2.8125
258,1542,25,3.44
259,1550,12,1.4166666666666667
260,1551,16,1.3125
261,1554,12,1.3333333333333333
262,1560,21,2.9523809523809526
263,1564,21,4.476190476190476
264,1567,9,1.1111111111111112
265,1576,19,1.736842105263158
266,1579,29,3.0
267,1594,29,15.03448275862069
268,1596,2,1.0
269,1597,16,1.5625
270,1611,1,4.0
271,1621,11,1.3636363636363635
272,1623,8,1.0
273,1625,4,6.25
274,1628,2,2.0
275,1629,1,1.0
276,1635,23,2.652173913043478
277,1637,28,4.678571428571429
278,1641,22,3.272727272727273
279,1642,22,1.8181818181818181
280,1645,2,3.5
281,1648,1,1.0
282,1650,14,1.8571428571428572
283,1652,10,1.5
284,1656,26,2.8846153846153846
285,1659,11,1.7272727272727273
286,1667,5,1.4
287,1669,10,1.3
288,1676,3,1.6666666666666667
289,1677,28,3.857142857142857
290,1681,29,6.172413793103448
291,1697,10,1.1
292,1705,30,2.8333333333333335
293,1706,17,2.5294117647058822
294,1718,12,14.333333333333334
295,1721,19,3.263157894736842
296,1723,8,7.5
297,1737,26,4.423076923076923
298,1743,28,4.464285714285714
299,1747,10,4.0
300,1752,19,3.0526315789473686
301,1754,1,1.0
302,1761,17,1.8823529411764706
303,1778,11,1.3636363636363635
304,1781,30,5.9
305,1782,30,8.8
306,1783,11,1.3636363636363635
307,1803,23,2.0434782608695654
308,1824,23,4.608695652173913
309,1833,30,5.366666666666666
310,1846,29,6.379310344827586
311,1848,22,4.545454545454546
312,1851,15,1.6666666666666667
313,1852,1,1.0
314,1862,30,6.9
315,1869,10,1.5
316,1872,11,1.2727272727272727
317,1875,30,8.066666666666666
318,1882,24,2.3333333333333335
319,1886,7,1.2857142857142858
320,1890,27,4.555555555555555
321,1892,29,3.4827586206896552
322,1895,30,11.433333333333334
323,1899,29,8.96551724137931
324,1902,16,1.4375
325,1904,30,4.7
326,1906,29,3.896551724137931
327,1916,26,2.8076923076923075
328,1918,22,2.3636363636363638
329,1934,24,2.8333333333333335
330,1935,4,1.25
331,1941,5,1.0
332,1942,1,1.0
333,1944,19,2.5789473684210527
334,1951,29,6.551724137931035
335,1954,26,5.3076923076923075
336,1959,13,1.2307692307692308
337,1960,20,1.85
338,1974,18,1.5555555555555556
339,1977,3,1.3333333333333333
340,1979,9,4.444444444444445
341,1983,11,6.454545454545454
342,1984,13,1.8461538461538463
343,1997,24,2.7916666666666665
344,2005,23,32.78260869565217
345,2006,19,1.8421052631578947
346,2012,13,1.5384615384615385
347,2027,4,1.25
348,2029,17,2.0
349,2030,30,6.033333333333333
350,2040,11,1.6363636363636365
351,2052,30,5.166666666666667
352,2054,25,2.8
353,2064,22,1.5909090909090908
354,2067,5,2.2
355,2075,20,2.55
356,2097,28,6.678571428571429
357,2103,1,2.0
358,2109,1,1.0
359,2114,25,11.36
360,2137,7,1.2857142857142858
361,2141,4,1.0
362,2143,22,1.8181818181818181
363,2145,8,2.125
364,2157,28,3.25
365,2160,13,1.6153846153846154
366,2167,2,2.0
367,2172,25,5.08
368,2178,13,2.3076923076923075
369,2193,11,2.5454545454545454
370,2199,26,3.230769230769231
371,2207,4,1.5
372,2208,10,1.2
373,2210,13,1.3076923076923077
374,2211,23,2.5652173913043477
375,2224,30,6.8
376,2241,23,1.608695652173913
377,2243,6,1.5
378,2248,2,2.0
379,2252,26,2.4615384615384617
380,2253,28,5.107142857142857
381,2260,29,3.586206896551724
382,2265,28,9.0
383,2266,20,3.6
384,2272,25,9.68
385,2296,8,1.125
386,2323,27,4.2592592592592595
387,2341,6,1.8333333333333333
388,2343,1,1.0
389,2346,26,3.5384615384615383
390,2357,10,1.4
391,2360,26,3.230769230769231
392,2363,10,2.4
393,2366,7,2.142857142857143
394,2368,16,2.125
395,2370,22,2.409090909090909
396,2380,14,1.8571428571428572
397,2384,26,2.076923076923077
398,2390,5,4.0
399,2393,10,1.3
400,2398,21,2.9523809523809526
401,2402,6,2.0
402,2404,8,3.375
403,2406,29,3.6551724137931036
404,2410,1,1.0
405,2414,29,5.0
406,2419,9,1.2222222222222223
407,2420,26,2.0
408,2424,29,4.379310344827586
409,2431,1,1.0
410,2439,30,15.9
411,2441,11,1.2727272727272727
412,2446,1,1.0
413,2454,2,1.5
414,2459,30,5.233333333333333
415,2468,21,1.7619047619047619
416,2469,27,4.2592592592592595
417,2471,7,1.2857142857142858
418,2477,18,3.2777777777777777
419,2486,17,1.6470588235294117
420,2494,19,1.736842105263158
421,2495,1,1.0
422,2503,27,9.333333333333334
423,2507,5,2.4
424,2515,26,6.153846153846154
425,2517,22,2.272727272727273
426,2523,22,6.0
427,2526,25,2.8
428,2539,1,1.0
429,2542,4,5.25
430,2543,28,5.321428571428571
431,2551,2,1.0
432,2554,30,13.133333333333333
433,2559,13,1.3846153846153846
434,2561,9,1.0
435,2571,4,3.75
436,2574,2,1.0
437,2577,25,2.6
438,2580,29,4.9655172413793105
439,2587,13,1.5384615384615385
440,2604,20,3.1
441,2606,3,7.333333333333333
442,2607,6,1.5
443,2609,6,1.1666666666666667
444,2623,8,4.0
445,2632,16,6.3125
446,2633,24,1.9583333333333333
447,2634,27,2.962962962962963
448,2636,20,2.3
449,2637,7,1.0
450,2638,22,2.5
451,2639,18,1.7777777777777777
452,2657,25,9.16
453,2658,1,1.0
454,2660,30,40.733333333333334
455,2662,16,1.875
456,2665,3,1.3333333333333333
457,2668,27,6.703703703703703
458,2675,24,8.791666666666666
459,2678,22,3.227272727272727
460,2680,2,1.0
461,2684,2,1.0
462,2685,14,9.285714285714286
463,2689,1,1.0
464,2695,12,12.0
465,2705,29,5.689655172413793
466,2706,16,6.5625
467,2708,3,1.0
468,2713,11,1.0
469,2714,28,2.9642857142857144
470,2726,24,2.9583333333333335
471,2729,27,3.2962962962962963
472,2730,24,15.875
473,2733,14,3.357142857142857
474,2737,18,1.7777777777777777
475,2742,20,1.95
476,2745,19,2.1052631578947367
477,2749,4,1.0
478,2751,25,2.6
479,2753,19,3.1578947368421053
480,2755,28,5.5
481,2763,22,3.409090909090909
482,2764,25,1.92
483,2765,9,1.4444444444444444
484,2767,21,38.61904761904762
485,2768,23,2.8260869565217392
486,2769,23,4.956521739130435
487,2770,1,1.0
488,2782,20,5.05
489,2784,6,2.0
490,2796,28,5.892857142857143
491,2797,5,7.8
492,2802,27,5.0
493,2803,4,1.25
494,2805,25,4.44
495,2809,1,1.0
496,2821,8,1.125
497,2822,24,9.791666666666666
498,2825,27,7.111111111111111
499,2830,4,1.25
500,2831,18,5.277777777777778
501,2832,12,1.3333333333333333
502,2835,22,1.5909090909090908
503,2839,29,13.0
504,2843,15,3.6666666666666665
505,2844,22,2.0454545454545454
506,2850,3,1.3333333333333333
507,2852,19,2.4210526315789473
508,2853,3,1.0
509,2856,28,2.9642857142857144
510,2860,2,1.0
511,2867,30,6.533333333333333
512,2870,2,1.0
513,2871,2,1.0
514,2873,27,3.7037037037037037
515,2874,24,2.7083333333333335
516,2895,3,1.6666666666666667
517,2897,18,1.6666666666666667
518,2899,1,1.0
519,2902,11,1.4545454545454546
520,2908,14,1.5714285714285714
521,2913,6,1.3333333333333333
522,2917,30,9.4
523,2918,29,3.4482758620689653
524,2925,23,2.260869565217391
525,2927,4,1.25
526,2928,28,5.464285714285714
527,2944,28,22.25
528,2945,29,4.0344827586206895
529,2947,3,1.3333333333333333
530,2950,30,5.333333333333333
531,2955,27,8.555555555555555
532,2956,22,7.136363636363637
533,2958,7,1.1428571428571428
534,2959,17,1.8235294117647058
535,2967,6,1.0
536,2976,9,1.4444444444444444
537,2977,11,1.6363636363636365
538,2979,23,2.1739130434782608
539,2980,22,2.409090909090909
540,2986,8,1.5
541,2989,30,11.7
542,2993,16,1.5
543,2997,29,8.379310344827585
544,3000,30,4.866666666666666
545,3005,26,1.9230769230769231
546,3008,17,3.7058823529411766
547,3010,20,2.15
548,3015,21,5.0476190476190474
549,3016,5,1.0
550,3019,30,7.7
551,3021,24,2.4583333333333335
552,3022,18,2.388888888888889
553,3023,27,2.185185185185185
554,3028,10,1.6
555,3044,2,1.0
556,3045,30,16.133333333333333
557,3046,29,3.7241379310344827
558,3047,22,7.045454545454546
559,3051,13,14.307692307692308
560,3065,18,1.5
561,3070,13,1.6923076923076923
562,3096,30,7.4
563,3101,3,11.666666666666666
564,3106,26,2.6538461538461537
565,3108,1,1.0
566,3112,11,3.727272727272727
567,3116,1,1.0
568,3122,9,4.333333333333333
569,3127,29,4.0
570,3130,25,2.48
571,3131,27,4.962962962962963
572,3133,15,2.466666666666667
573,3139,5,1.2
574,3142,26,3.3076923076923075
575,3197,26,3.8076923076923075
576,3199,14,2.9285714285714284
577,3210,4,1.0
578,3217,14,3.9285714285714284
579,3234,3,1.0
580,3244,19,2.0526315789473686
581,3245,22,2.3636363636363638
582,3248,1,1.0
583,3249,15,1.8
584,3251,2,1.0
585,3252,30,5.266666666666667
586,3255,12,1.3333333333333333
587,3256,17,5.0
588,3257,24,6.625
589,3259,3,1.0
590,3260,30,4.866666666666666
591,3262,30,11.366666666666667
592,3266,5,1.4
593,3268,7,2.0
594,3269,28,2.4285714285714284
595,3270,16,1.625
596,3274,8,2.5
597,3276,20,6.3
598,3289,3,1.6666666666666667
599,3291,22,3.9545454545454546
600,3293,28,20.25
601,3294,25,3.52
602,3310,23,3.1739130434782608
603,3311,30,4.766666666666667
604,3314,1,1.0
605,3316,4,21.25
606,3320,24,4.708333333333333
607,3321,17,3.9411764705882355
608,3322,29,4.827586206896552
609,3324,22,19.227272727272727
610,3328,27,4.111111111111111
611,3329,20,1.9
612,3332,22,1.8181818181818181
613,3333,28,38.285714285714285
614,3339,24,3.7083333333333335
615,3341,12,10.0
616,3342,30,102.86666666666666
617,3426,15,2.533333333333333
618,3428,1,1.0
619,3430,7,4.714285714285714
620,3431,2,1.0
621,3433,12,1.5
622,3434,26,2.8076923076923075
623,3437,1,1.0
624,3438,18,2.0555555555555554
625,3439,9,1.4444444444444444
626,3440,27,9.814814814814815
627,3441,7,1.1428571428571428
628,3444,16,1.25
629,3446,25,248.72
630,3447,26,7.115384615384615
631,3448,2,1.0
632,3449,21,8.238095238095237
633,3450,23,2.0434782608695654
634,3452,17,1.8823529411764706
635,3455,13,1.1538461538461537
636,3458,11,6.7272727272727275
637,3467,22,1.9090909090909092
638,3470,30,6.666666666666667
639,3474,20,2.0
640,3475,19,2.210526315789474
641,3476,16,1.3125
642,3480,4,1.0
643,3483,21,2.0952380952380953
644,3485,9,6.222222222222222
645,3486,14,1.7857142857142858
646,3491,12,2.0833333333333335
647,3498,29,11.862068965517242
648,3500,30,16.9
649,3501,11,1.1818181818181819
650,3512,4,1.25
651,3513,9,1.4444444444444444
652,3517,1,1.0
653,3520,17,1.6470588235294117
654,3521,8,1.5
655,3529,11,3.4545454545454546
656,3530,30,14.333333333333334
657,3531,30,26.433333333333334
658,3532,3,1.0
659,3533,27,2.2222222222222223
660,3536,9,1.6666666666666667
661,3548,23,5.260869565217392
662,3549,14,1.2142857142857142
663,3552,12,4.0
664,3553,30,16.3
665,3570,9,2.7777777777777777
666,3580,30,14.533333333333333
667,3581,21,3.2857142857142856
668,3582,11,3.4545454545454546
669,3583,23,1.6521739130434783
670,3584,2,1.0
671,3585,2,2.0
672,3586,15,3.8
673,3588,18,1.8333333333333333
674,3589,14,3.2857142857142856
675,3590,11,1.8181818181818181
676,3592,28,3.107142857142857
677,3593,1,1.0
678,3595,6,2.8333333333333335
679,3600,27,4.0
680,3601,8,2.125
681,3607,17,3.1176470588235294
682,3609,10,1.3
683,3610,17,1.1176470588235294
684,3612,9,1.1111111111111112
685,3613,6,3.5
686,3614,22,3.227272727272727
687,3617,17,1.588235294117647
688,3622,3,1.0
689,3624,29,4.9655172413793105
690,3625,13,1.4615384615384615
691,3626,10,1.4
692,3630,2,1.5
693,3631,3,1.0
694,3632,21,2.9047619047619047
695,3633,17,2.235294117647059
696,3634,8,1.25
697,3636,18,1.8888888888888888
698,3637,18,1.6666666666666667
699,3638,29,7.689655172413793
700,3643,30,30.966666666666665
701,3644,14,2.7142857142857144
702,3647,9,1.0
703,3648,26,4.6923076923076925
704,3653,23,5.043478260869565
705,3654,30,4.8
706,3658,16,1.125
707,3659,10,2.4
708,3660,1,1.0
709,3661,2,1.0
710,3662,2,13.0
711,3663,6,1.5
712,3666,3,1.0
713,3667,7,1.1428571428571428
714,3668,9,3.6666666666666665
715,3671,27,6.185185185185185
716,3672,20,3.7
717,3673,21,2.619047619047619
718,3674,12,1.8333333333333333
719,3679,1,1.0
720,3684,21,4.190476190476191
721,3685,13,2.5384615384615383
722,3686,28,6.035714285714286
723,3687,29,2.4827586206896552
724,3689,17,1.7647058823529411
725,3691,29,3.793103448275862
726,3693,24,3.3333333333333335
727,3694,30,5.266666666666667
728,3696,1,1.0
729,3697,28,14.464285714285714
730,3698,1,1.0
731,3700,4,1.0
732,3701,5,1.8
733,3702,30,75.03333333333333
734,3704,13,3.3846153846153846
735,3705,19,2.3157894736842106
736,3706,25,5.6
737,3707,29,11.724137931034482
738,3708,14,1.7142857142857142
739,3710,30,44.7
740,3711,24,23.375
741,3713,14,3.357142857142857
742,3716,5,1.4
743,3717,15,2.2
744,3718,9,1.1111111111111112
745,3720,9,1.3333333333333333
746,3721,30,8.466666666666667
747,3722,24,3.0833333333333335
748,3723,29,3.9655172413793105
749,3724,23,3.4347826086956523
750,3725,30,7.5
751,3727,30,18.733333333333334
752,3729,16,1.1875
753,3730,8,1.0
754,3733,20,1.7
755,3734,26,3.923076923076923
756,3735,6,1.0
757,3736,9,12.666666666666666
758,3739,25,4.96
759,3740,25,10.96
760,3743,21,5.380952380952381
761,3746,23,2.869565217391304
762,3747,14,1.1428571428571428
763,3748,17,16.11764705882353
764,3751,4,2.0
765,3752,11,1.7272727272727273
766,3755,7,1.0
767,3756,24,12.583333333333334
768,3762,30,26.433333333333334
769,3763,1,1.0
770,3764,18,2.0
771,3765,4,1.25
772,3767,30,8.366666666666667
773,3768,28,20.964285714285715
774,3769,25,13.8
775,3771,30,4.733333333333333
776,3773,23,2.1739130434782608
777,3775,11,2.090909090909091
778,3776,27,3.037037037037037
779,3777,10,1.3
780,3779,7,1.0
781,3783,28,7.107142857142857
782,3784,22,3.727272727272727
783,3788,22,11.181818181818182
784,3789,5,9.8
785,3791,23,2.260869565217391
786,3792,5,1.4
787,3793,1,1.0
788,3794,24,18.291666666666668
789,3795,13,7.384615384615385
790,3797,30,12.5
791,3798,20,2.2
792,3799,1,1.0
793,3800,5,1.2
794,3804,15,2.8
795,3805,18,2.1666666666666665
796,3806,26,5.153846153846154
797,3809,9,2.0
798,3810,27,3.7037037037037037
799,3811,9,1.5555555555555556
800,3813,22,2.0454545454545454
801,3814,27,2.5555555555555554
802,3817,30,12.033333333333333
803,3819,1,3.0
804,3820,20,1.4
805,3822,22,2.1363636363636362
806,3826,1,2.0
807,3828,3,1.0
808,3829,20,1.7
809,3832,2,21.0
810,3833,3,1.6666666666666667
811,3834,8,1.75
812,3835,4,14.25
813,3836,3,9.333333333333334
814,3838,29,5.310344827586207
815,3841,25,2.92
816,3843,18,3.0555555555555554
817,3844,19,1.3157894736842106
818,3846,12,2.0
819,3848,19,1.7894736842105263
820,3849,11,1.3636363636363635
821,3851,8,1.0
822,3852,13,2.230769230769231
823,3853,28,4.321428571428571
824,3854,28,182.78571428571428
825,3855,9,2.7777777777777777
826,3856,26,2.8461538461538463
827,3858,1,2.0
828,3859,2,1.0
829,3860,3,7.333333333333333
830,3862,1,1.0
831,3863,9,2.6666666666666665
832,3864,1,1.0
833,3865,4,1.25
834,3866,11,8.181818181818182
835,3867,18,30.444444444444443
836,3869,1,1.0
837,3870,2,1.5
838,3871,11,3.272727272727273
839,3872,2,1.0
840,3874,1,4.0
841,3875,4,24.5
842,3876,1,1.0
843,3878,2,2.5
844,3880,1,6.0
845,3882,3,1.0
846,3884,1,1.0
